Price,Bedrooms,Bathrooms,Square_feet
1299888.0,4.0,2.0,1464.0
699000.0,2.0,1.0,979.0
499000.0,3.0,2.0,830.0
995000.0,2.0,1.0,1111.0
575000.0,3.0,1.0,1132.0
899000.0,2.0,1.0,1032.0
1565000.0,3.0,3.5,3021.0
2795000.0,5.0,4.5,3562.0
1300000.0,3.0,2.0,1982.0
1342695.0,4.0,2.5,1809.0
895000.0,2.0,2.0,1204.0
1433880.0,3.0,3.5,1796.0
1399000.0,7.0,6.0,2956.0
500000.0,1.0,1.0,722.0
789000.0,2.0,2.0,1313.0
1299000.0,4.0,3.0,2091.0
1080000.0,3.0,1.5,1242.0
895000.0,4.0,2.0,1488.0
1200000.0,2.0,4.0,3140.0
1020000.0,4.0,4.0,1698.0
998800.0,3.0,1.0,1096.0
24500.0,1.0,1.0,600.0
1388888.0,3.0,2.0,1660.0
899888.0,3.0,1.5,1192.0
599000.0,2.0,1.0,1060.0
499900.0,3.0,2.0,1732.0
899000.0,3.0,2.0,1188.0
799000.0,2.0,2.0,1327.0
1179880.0,2.0,2.5,1350.0
1600000.0,4.0,3.0,3212.0
1088000.0,8.0,4.0,2787.0
399900.0,1.0,2.0,818.0
1999950.0,5.0,4.0,2600.0
1549950.0,3.0,3.0,1744.0
498000.0,2.0,1.5,1145.0
1143880.0,2.0,2.5,1291.0
1899000.0,5.0,3.0,2492.0
399000.0,3.0,1.0,1058.0
519500.0,3.0,2.0,1060.0
3800000.0,4.0,4.5,5110.0
394720.0,2.0,2.0,965.0
1325000.0,3.0,2.5,1406.0
999000.0,4.0,3.5,2241.0
1399000.0,4.0,2.5,2102.0
635000.0,2.0,2.5,1270.0
279000.0,2.0,2.0,1100.0
2950000.0,3.0,3.0,3172.0
379900.0,3.0,2.0,1456.0
3795000.0,5.0,4.5,3506.0
1399000.0,4.0,2.5,1620.0
1649950.0,4.0,2.0,1766.0
235000.0,3.0,2.0,1390.0
398888.0,2.0,1.0,745.0
294500.0,1.0,1.0,846.0
549000.0,3.0,2.0,1245.0
699900.0,2.0,2.0,1066.0
1499000.0,2.0,2.0,2192.0
1799000.0,3.0,3.5,3134.0
429000.0,1.0,1.0,453.0
799000.0,5.0,3.0,1758.0
649000.0,3.0,2.0,1125.0
599999.0,2.0,2.0,938.0
1375000.0,3.0,2.0,1431.0
475000.0,2.0,2.0,1113.0
941000.0,4.0,3.0,1976.0
597000.0,4.0,2.0,2038.0
1828000.0,3.0,2.0,1504.0
875000.0,2.0,1.0,1018.0
249000.0,2.0,2.0,1500.0
1200000.0,5.0,3.0,1784.0
389000.0,2.0,2.0,1651.0
780000.0,3.0,2.0,1242.0
1255000.0,4.0,3.0,2366.0
779000.0,4.0,3.0,2250.0
580000.0,2.0,1.0,772.0
1588000.0,4.0,3.0,2310.0
690000.0,3.0,2.0,1257.0
1659950.0,3.0,2.0,1869.0
1175000.0,3.0,2.0,1343.0
2999999.0,5.0,4.5,3466.0
798000.0,2.0,2.0,1103.0
775000.0,3.0,2.0,1234.0
485000.0,3.0,2.0,1680.0
89800.0,1.0,1.0,576.0
949000.0,2.0,2.5,1282.0
824900.0,3.0,2.5,1621.0
800000.0,2.0,1.0,1201.0
599000.0,2.0,1.5,1028.0
2970000.0,6.0,4.0,3200.0
1095000.0,4.0,3.0,2222.0
1589000.0,4.0,2.5,1758.0
1099000.0,4.0,3.0,2654.0
470000.0,1.0,1.0,790.0
2750000.0,12.0,3.0,3867.0
1169999.0,3.0,2.5,1549.0
1539000.0,3.0,2.0,1805.0
189900.0,2.0,2.0,1440.0
340000.0,1.0,1.0,758.0
535000.0,2.0,1.0,936.0
1788800.0,4.0,3.5,2145.0
385000.0,2.0,1.5,1024.0
588888.0,5.0,3.0,2242.0
1075000.0,4.0,3.0,1659.0
998000.0,3.0,2.5,1600.0
608000.0,2.0,2.0,1043.0
375000.0,1.0,1.0,728.0
300000.0,3.0,2.0,1400.0
459500.0,2.0,2.0,771.0
2375000.0,5.0,3.0,2741.0
695000.0,2.0,2.0,1479.0
675000.0,2.0,1.0,1157.0
399999.0,2.0,1.0,850.0
8995000.0,5.0,5.5,4775.0
499000.0,2.0,2.0,1007.0
1549000.0,5.0,3.5,3053.0
1380000.0,4.0,2.5,2126.0
1698000.0,4.0,2.0,1749.0
374900.0,3.0,1.0,1232.0
299999.0,4.0,2.0,1186.0
425000.0,1.0,1.0,773.0
998888.0,4.0,2.0,1479.0
988000.0,4.0,2.0,1938.0
855000.0,3.0,2.5,1593.0
360000.0,1.0,1.0,622.0
1028000.0,2.0,2.5,1174.0
1250000.0,4.0,3.0,3576.0
640000.0,2.0,1.0,768.0
1049999.0,3.0,1.0,942.0
435000.0,1.0,1.0,729.0
689000.0,2.0,1.0,1016.0
589000.0,3.0,1.0,1144.0
539000.0,1.0,1.0,861.0
880000.0,6.0,5.0,2671.0
368300.0,3.0,1.0,1052.0
240000.0,2.0,2.0,1250.0
860000.0,3.0,2.5,1378.0
599900.0,3.0,3.0,3011.0
1800000.0,3.0,3.0,3228.0
95000.0,2.0,1.0,552.0
540000.0,3.0,2.0,762.0
58000.0,1.0,1.0,532.0
725000.0,3.0,1.0,1323.0
59000.0,1.0,1.0,427.0
1150000.0,3.0,2.0,1541.0
345000.0,2.0,2.0,1536.0
450000.0,1.0,1.0,429.0
725000.0,3.0,1.0,1104.0
1099000.0,4.0,2.5,1890.0
1599000.0,4.0,2.5,1974.0
549000.0,2.0,2.0,985.0
1325000.0,3.0,2.0,1116.0
665000.0,2.0,2.0,1388.0
747800.0,2.0,1.0,1018.0
1139888.0,3.0,2.0,1267.0
1385000.0,4.0,3.0,1974.0
398000.0,2.0,1.0,983.0
688000.0,2.0,1.5,1279.0
595000.0,2.0,2.0,1067.0
1899000.0,6.0,4.0,2779.0
730000.0,2.0,2.0,850.0
569000.0,3.0,2.0,1245.0
589000.0,2.0,2.0,1234.0
949999.0,4.0,2.0,1709.0
418000.0,2.0,2.0,1160.0
1999950.0,3.0,2.0,2033.0
769888.0,3.0,2.0,1475.0
1150000.0,4.0,3.5,1915.0
665000.0,2.0,2.0,1053.0
510000.0,3.0,1.0,924.0
625000.0,2.0,1.0,1068.0
539000.0,2.0,2.0,1255.0
1239000.0,4.0,3.5,2499.0
2350000.0,5.0,4.0,3923.0
810000.0,2.0,2.5,1298.0
535000.0,1.0,1.0,1546.0
359000.0,1.0,1.0,758.0
1698000.0,4.0,2.5,1785.0
999000.0,4.0,2.5,2586.0
1100000.0,2.0,1.0,970.0
825000.0,6.0,3.0,2000.0
800000.0,3.0,1.5,1174.0
899800.0,3.0,1.0,1025.0
415000.0,1.0,1.0,754.0
899000.0,3.0,1.5,1500.0
1199000.0,2.0,2.0,1088.0
1199000.0,4.0,3.0,1644.0
695000.0,2.0,1.0,961.0
529000.0,2.0,1.0,903.0
899000.0,3.0,2.5,1383.0
739888.0,3.0,1.0,1044.0
939999.0,3.0,2.5,2535.0
599000.0,2.0,1.0,871.0
599000.0,2.0,1.0,960.0
1399000.0,3.0,2.0,2266.0
589000.0,3.0,1.5,1373.0
960000.0,8.0,3.0,2493.0
770000.0,3.0,1.0,951.0
690000.0,2.0,2.0,1300.0
149000.0,2.0,2.0,792.0
565000.0,2.0,2.0,1119.0
1688888.0,5.0,3.0,3350.0
734500.0,3.0,3.5,1552.0
1195000.0,3.0,3.0,1455.0
1479000.0,1.0,1.0,2972.0
825000.0,4.0,3.0,2516.0
1250000.0,3.0,2.0,1392.0
935000.0,2.0,1.0,1087.0
518888.0,2.0,1.0,1024.0
695000.0,3.0,2.0,1476.0
1938000.0,4.0,2.5,1889.0
899000.0,3.0,3.0,1700.0
1400000.0,2.0,5.0,3915.0
895000.0,7.0,3.5,1845.0
319000.0,2.0,1.0,791.0
680000.0,2.0,1.0,846.0
539999.0,2.0,1.5,1044.0
729999.0,2.0,1.0,1061.0
1350000.0,4.0,2.0,1723.0
450000.0,1.0,1.5,1033.0
999998.0,3.0,2.0,1822.0
525000.0,1.0,1.0,1123.0
560000.0,3.0,2.0,1177.0
389000.0,1.0,1.0,736.0
1000000.0,2.0,1.0,1301.0
649000.0,1.0,1.0,664.0
599000.0,3.0,2.0,1572.0
748000.0,5.0,5.0,1528.0
2999000.0,2.0,8.0,5660.0
599000.0,2.0,1.0,950.0
599000.0,2.0,2.0,1120.0
715000.0,8.0,4.0,2576.0
474999.0,2.0,1.0,800.0
585000.0,2.0,1.0,882.0
1598800.0,3.0,2.0,2344.0
619000.0,2.0,2.0,1127.0
390000.0,1.0,1.0,629.0
799800.0,5.0,3.0,1794.0
690000.0,3.0,1.0,1406.0
1399000.0,4.0,3.5,2815.0
1750000.0,3.0,2.0,1843.0
1100121.0,3.0,1.5,1207.0
1780000.0,4.0,7.0,6472.0
1098000.0,3.0,3.5,1784.0
345888.0,2.0,1.0,500.0
1649000.0,5.0,4.0,2700.0
749000.0,2.0,2.0,1200.0
1568000.0,4.0,3.5,2112.0
332900.0,3.0,2.0,1500.0
749999.0,3.0,2.5,1660.0
419000.0,2.0,2.0,865.0
679000.0,2.0,2.0,1224.0
1150000.0,3.0,3.0,2285.0
757000.0,3.0,3.5,1683.0
1150000.0,4.0,2.0,1579.0
580000.0,2.0,2.0,908.0
1577000.0,3.0,2.5,1614.0
948000.0,2.0,1.0,1130.0
1699999.0,4.0,3.0,2082.0
1449000.0,8.0,4.0,3324.0
525000.0,4.0,1.0,1173.0
754500.0,4.0,4.0,2743.0
1389990.0,4.0,2.5,2554.0
899950.0,3.0,2.0,1276.0
318000.0,1.0,1.0,533.0
1100000.0,3.0,2.0,1312.0
1599000.0,3.0,1.0,1350.0
650000.0,4.0,1.0,2021.0
659000.0,2.0,2.0,926.0
749000.0,4.0,2.0,2212.0
1699000.0,6.0,4.0,2496.0
500000.0,3.0,1.0,1114.0
1450000.0,9.0,5.0,4276.0
699000.0,5.0,3.0,845.0
698000.0,2.0,2.0,894.0
679000.0,2.0,1.0,1091.0
1080000.0,4.0,2.5,3104.0
769000.0,3.0,1.0,1274.0
728888.0,2.0,2.5,1166.0
550000.0,2.0,2.0,1600.0
450000.0,2.0,2.0,1711.0
399000.0,1.0,1.0,780.0
775000.0,3.0,1.0,1050.0
520000.0,2.0,1.0,1094.0
799000.0,3.0,3.0,1946.0
3995000.0,3.0,2.0,1441.0
419000.0,1.0,1.0,936.0
700000.0,2.0,1.0,1025.0
629500.0,2.0,2.0,1082.0
1100000.0,8.0,5.0,3569.0
1598000.0,5.0,3.0,2368.0
786000.0,3.0,3.5,1729.0
1250000.0,3.0,1.5,1226.0
549000.0,2.0,1.5,977.0
798999.0,2.0,1.0,1106.0
1225000.0,3.0,2.0,1520.0
3998000.0,5.0,3.0,4045.0
1095000.0,3.0,2.0,2077.0
679500.0,2.0,1.0,1104.0
1488888.0,5.0,3.0,1841.0
589000.0,2.0,2.0,1286.0
549000.0,5.0,2.0,1952.0
1265347.0,4.0,3.5,2033.0
1500000.0,3.0,2.0,3900.0
795000.0,3.0,2.0,1539.0
615000.0,2.0,2.0,1071.0
250000.0,2.0,2.0,1440.0
795000.0,6.0,2.0,2372.0
760000.0,4.0,3.0,1089.0
849000.0,6.0,2.0,1772.0
410000.0,3.0,2.0,1416.0
645000.0,3.0,2.0,1200.0
849000.0,3.0,2.0,1644.0
1275000.0,3.0,2.0,1432.0
1049900.0,4.0,2.0,1573.0
400000.0,3.0,1.0,720.0
360000.0,2.0,1.0,749.0
900000.0,3.0,2.5,2067.0
899000.0,3.0,1.0,1298.0
1598000.0,3.0,2.0,1681.0
425000.0,2.0,1.0,859.0
2750500.0,7.0,6.0,4056.0
638888.0,2.0,1.0,950.0
659000.0,3.0,2.0,1014.0
799000.0,3.0,3.0,1111.0
1999000.0,4.0,3.0,2169.0
439000.0,1.0,1.0,924.0
1030000.0,2.0,1.0,960.0
1049900.0,4.0,3.5,4250.0
530000.0,2.0,2.0,894.0
325800.0,1.0,1.0,644.0
998000.0,5.0,4.0,2804.0
650000.0,3.0,3.0,1273.0
499000.0,2.0,1.0,855.0
669000.0,1.0,2.0,1600.0
575000.0,2.0,1.0,857.0
799900.0,8.0,4.0,3104.0
798000.0,3.0,2.0,1388.0
499000.0,1.0,1.5,947.0
1198000.0,6.0,4.0,2916.0
639900.0,2.0,2.0,942.0
1897000.0,3.0,2.5,2415.0
369000.0,1.0,1.0,614.0
1599999.0,3.0,2.5,2049.0
824900.0,2.0,2.0,1399.0
1449000.0,3.0,2.0,1488.0
990000.0,4.0,2.0,2500.0
1099950.0,2.0,1.5,1304.0
429000.0,1.0,1.0,768.0
539000.0,3.0,2.0,1124.0
949000.0,3.0,1.5,2175.0
425000.0,1.0,1.0,729.0
419000.0,1.0,1.0,894.0
849000.0,4.0,2.5,1922.0
1148000.0,3.0,2.0,1324.0
639900.0,2.0,2.0,942.0
1000000.0,6.0,3.0,2839.0
1000900.0,8.0,4.0,3232.0
410000.0,2.0,1.0,684.0
1600000.0,4.0,2.5,1980.0
929800.0,3.0,1.5,1070.0
499000.0,7.0,3.0,3169.0
438888.0,2.0,1.5,980.0
1135388.0,3.0,2.5,1705.0
453000.0,3.0,1.5,1509.0
620000.0,2.0,1.0,1021.0
805000.0,3.0,2.0,1214.0
